학교명,지역,학교 학생 수,동질화 지수(H_m),P_special,I_SCU,H_path,H_job,H_ppc,1위 업종,R_net,,,
현풍중학교,달성군,200,1.201142336,3,0.945971,0.572016,0.3487,0.4321,,0.8583690987,1.095904758,1.095904758,0.8015769831
상인중학교,달서구,156,1.199838671,8.974359,0.943811,0.26807,0.3515,0.4321,,-0.4607307404,1.04134164,1.04134164,0.7563747374
송현여자중학교,달서구,182,1.196618247,1.098901,0.970063,0.325505,0.3515,0.4321,,-0.4607307404,1.046578471,1.046578471,0.7655752047
대구감천초등학교,달서구,264,1.196577551,6.818182,0.950998,1,0.3515,0.4321,,-2.651515152,1.233915979,1.233915979,0.9156821604
대구성서초등학교,달서구,270,1.195300901,3.703704,0.96138,1,0.3515,0.4321,,-3.333333333,1.22952337,1.22952337,0.9152015156
대구과학고등학교,수성구,280,1.194558991,0.714286,0.977291,1,0.3313,0.4693,기타 개인 서비스업 복합코드,0,1.223731765,1.223731765,0.9177903429
서남중학교,서구,136,1.192954191,2.941176,0.905638,0.210732,0.3622,0.4321,,0.9982638889,1.019437718,1.019437718,0.7401129811
대구송현초등학교,달서구,271,1.192618454,4.059041,0.960195,1,0.3515,0.4321,,-5.166051661,1.227111959,1.227111959,0.9139728026
대구복명초등학교,수성구,283,1.191418559,0,0.979671,1,0.3313,0.4693,기타 개인 서비스업 복합코드,-3.833333333,1.219839923,1.219839923,0.9164090888
대구범물초등학교,수성구,135,1.187329303,19.259259,0.915474,0,0.3313,0.4693,기타 개인 서비스업 복합코드,-3.833333333,1.009721914,1.009721914,0.7361464875
대구관남초등학교,북구,274,1.187172073,2.919708,0.959986,1,0.3493,0.4321,,-5.839416058,1.221603858,1.221603858,0.9112890845
대구동덕초등학교,중구,326,1.186474485,1.226994,0.97322,1,0.3322,0.2302,스포츠 서비스업,30.06134969,1.121466427,1.121466427,0.8479363506
대구세명학교,달서구,234,1.185093457,0,0.973726,0.693446,0.3515,0.4321,,0,1.125678624,1.125678624,0.8316607285
대구죽전초등학교,달서구,349,1.18425879,5.730659,0.954623,1,0.3515,0.4321,,12.89398281,1.089273497,1.089273497,0.8524704246
논공중학교,달성군,154,1.18319224,7.792208,0.929997,0.230094,0.3487,0.4321,,-2.479338843,1.021893986,1.021893986,0.743480885
대구신서초등학교,달서구,175,1.175871126,5.714286,0.954678,0.1711,0.3515,0.4321,,-4.155124654,1.007085166,1.007085166,0.7389810769
대구지산초등학교,수성구,211,1.175040979,10.42654,0.944916,0.325111,0.3313,0.4693,기타 개인 서비스업 복합코드,4.739336493,0.9913234008,0.9913234008,0.7403910472
대구성보학교,북구,238,1.174693947,0,0.969718,0.693446,0.3493,0.4321,,0,1.116610155,1.116610155,0.826742596
대구공업고등학교 테크노폴리스 캠퍼스,달성군,173,1.174553536,0,0.955971,0.041919,0.3487,0.4321,,0,0.9973414798,0.9973414798,0.7320891042
대구대천초등학교,북구,281,1.173631806,3.558719,0.957856,1,0.3493,0.4321,,-4.982206406,1.20828825,1.20828825,0.9051253991
대구현풍초등학교,달성군,271,1.172262226,5.904059,0.936291,1,0.3487,0.4321,,-1.367890569,1.213247255,1.213247255,0.904238848
대구산격초등학교,북구,280,1.169342109,5.714286,0.95067,1,0.3493,0.4321,,-3.214285714,1.205962095,1.205962095,0.9030919584
